,Npy1r,Drd1,Sema3c,Drd2,Htr2c,Htr1b,Vdr,Gpx3,Dlk1,Vgf,Ppp1r1b,Nefm,Cartpt,Prkcd,Tac1,Penk,Gal,Sst,Pdyn,Nts,Tac2,Ebf1,Crym,Gad1,Cyp26b1,Crh,Oprk1,Vipr2,Scn4b,y,x
m264M_16232,25.0,0.0,1.0,7.0,4.0,9.0,157.0,14.0,7.0,5.0,2.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,62.0,1.0,1.0,0.0,0.0,2.0,433.3898168086132,390.896217258557
m264M_16240,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,562.7907482063546,335.5766791937137
m264M_16242,3.0,0.0,2.0,3.0,1.0,1.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,213.67017940717628,995.9695202808114
m264M_16243,0.0,0.0,0.0,18.0,24.0,17.0,1.0,4.0,2.0,116.0,57.0,34.0,0.0,0.0,0.0,170.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,19.0,0.0,0.0,0.0,3.0,257.5912164896308,898.5508421851289
m264M_16244,0.0,0.0,0.0,5.0,3.0,2.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,332.3096076190476,397.3414285714286
m264M_16246,4.0,7.0,10.0,10.0,3.0,55.0,10.0,12.0,8.0,55.0,6.0,27.0,4.0,0.0,2.0,11.0,0.0,2.0,5.0,1.0,3.0,22.0,6.0,74.0,4.0,8.0,0.0,0.0,0.0,452.9314767673671,415.9273654347493
m264M_16255,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,1.0,10.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1031.8369964320468,1009.1789750243272
m264M_16256,12.0,0.0,4.0,4.0,29.0,3.0,0.0,0.0,4.0,14.0,4.0,14.0,0.0,1.0,0.0,4.0,1.0,26.0,13.0,0.0,6.0,0.0,7.0,29.0,3.0,0.0,0.0,0.0,0.0,524.2104277240088,468.39134977625145
m264M_16259,4.0,0.0,0.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1146.891493466086,867.5973553204732
m264M_16261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,484.3753120403446,164.28693633116202
m264M_16262,0.0,0.0,1.0,7.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1002.4694633873672,1012.9490553381778
m264M_16263,6.0,0.0,1.0,14.0,49.0,15.0,2.0,6.0,5.0,41.0,57.0,4.0,4.0,0.0,2.0,20.0,0.0,205.0,26.0,1.0,0.0,7.0,41.0,66.0,2.0,1.0,0.0,0.0,0.0,823.9833636363637,634.786563973064
m264M_16266,2.0,0.0,3.0,16.0,25.0,7.0,0.0,8.0,0.0,6.0,7.0,22.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,158.0,1.0,1.0,0.0,0.0,0.0,100.96043753240022,514.3047527216173
m264M_16275,3.0,0.0,1.0,31.0,40.0,8.0,1.0,14.0,3.0,31.0,1.0,7.0,0.0,0.0,0.0,73.0,1.0,5.0,3.0,2.0,1.0,2.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,1001.5946829563812,274.6802403069467
m264M_16276,2.0,1.0,0.0,10.0,32.0,18.0,6.0,4.0,8.0,157.0,71.0,3.0,2.0,15.0,1.0,68.0,0.0,282.0,173.0,44.0,138.0,26.0,84.0,102.0,6.0,10.0,0.0,34.0,0.0,559.9738163236735,770.944866302674
m264M_16281,2.0,0.0,3.0,5.0,9.0,1.0,0.0,10.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,987.4718261479144,513.4778618997548
m264M_16283,6.0,0.0,0.0,19.0,7.0,13.0,0.0,3.0,2.0,117.0,52.0,3.0,3.0,10.0,0.0,286.0,2.0,11.0,8.0,1.0,1.0,6.0,11.0,68.0,32.0,1.0,3.0,0.0,0.0,571.2944028349775,882.9871602336941
m264M_16286,0.0,1.0,0.0,39.0,15.0,22.0,6.0,24.0,2.0,47.0,78.0,12.0,0.0,0.0,0.0,167.0,2.0,25.0,9.0,4.0,8.0,26.0,42.0,9.0,21.0,0.0,0.0,1.0,1.0,114.95788700228378,982.3372624366996
m264M_16289,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1057.6553519351935,310.20901170117014
m264M_16298,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,2.0,2.0,3.0,0.0,4.0,0.0,0.0,826.2517593198172,953.2219882275998
m264M_16306,0.0,0.0,7.0,8.0,1.0,5.0,0.0,7.0,7.0,10.0,10.0,20.0,7.0,0.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,9.0,36.0,2.0,0.0,0.0,0.0,24.0,899.2311980531638,368.688019468364
m264M_16308,11.0,1.0,145.0,54.0,12.0,4.0,3.0,7.0,4.0,25.0,14.0,105.0,0.0,0.0,1.0,30.0,2.0,8.0,3.0,2.0,3.0,5.0,3.0,149.0,10.0,1.0,0.0,0.0,1.0,149.64960453052868,672.4931832675012
m264M_16309,1.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1067.046393345217,427.5578371954842
m264M_16313,2.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1078.4561908548708,1058.2328349900597
m264M_16334,7.0,0.0,4.0,6.0,3.0,6.0,2.0,10.0,12.0,33.0,12.0,2.0,0.0,3.0,1.0,93.0,1.0,8.0,4.0,3.0,8.0,4.0,21.0,91.0,61.0,1.0,0.0,0.0,0.0,343.8858475540387,623.1974288964732
m264M_16335,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1100.0535443037977,1072.883924050633
