,Npy1r,Drd1,Sema3c,Drd2,Htr2c,Htr1b,Vdr,Gpx3,Dlk1,Vgf,Ppp1r1b,Nefm,Cartpt,Prkcd,Tac1,Penk,Gal,Sst,Pdyn,Nts,Tac2,Ebf1,Crym,Gad1,Cyp26b1,Crh,Oprk1,Vipr2,Scn4b,y,x
m264M_1974,19.0,6.0,1.0,24.0,56.0,73.0,5.0,7.0,1.0,127.0,287.0,5.0,0.0,2.0,2.0,218.0,0.0,457.0,256.0,1.0,2.0,58.0,110.0,165.0,7.0,2.0,0.0,1.0,9.0,484.3801514340972,848.9423134850418
m264M_1989,4.0,2.0,4.0,41.0,12.0,12.0,5.0,9.0,0.0,206.0,193.0,10.0,21.0,39.0,2.0,150.0,0.0,3.0,41.0,2.0,1.0,14.0,50.0,111.0,7.0,5.0,2.0,2.0,1.0,332.66133477789816,720.909946695558
m264M_1992,6.0,0.0,1.0,20.0,9.0,26.0,8.0,8.0,1.0,45.0,216.0,6.0,1.0,89.0,3.0,497.0,1.0,3.0,13.0,2.0,1.0,8.0,52.0,82.0,79.0,2.0,2.0,0.0,6.0,385.02396818717386,846.7617244571621
m264M_2001,25.0,6.0,7.0,26.0,14.0,17.0,14.0,29.0,12.0,289.0,13.0,102.0,5.0,9.0,8.0,4.0,7.0,13.0,4.0,6.0,4.0,45.0,98.0,18.0,271.0,1.0,56.0,2.0,7.0,1095.428716576251,939.6305928872816
m264M_2004,12.0,0.0,2.0,22.0,27.0,19.0,2.0,19.0,2.0,128.0,6.0,70.0,1.0,2.0,6.0,17.0,2.0,11.0,7.0,7.0,1.0,10.0,77.0,15.0,104.0,1.0,32.0,3.0,5.0,919.358538933598,831.1008459192299
m264M_2016,7.0,0.0,71.0,60.0,7.0,1.0,7.0,23.0,4.0,18.0,34.0,17.0,5.0,2.0,2.0,23.0,18.0,5.0,9.0,1.0,1.0,16.0,12.0,46.0,5.0,0.0,6.0,0.0,0.0,127.0176156276932,740.6902745516478
m264M_2020,11.0,0.0,0.0,11.0,7.0,2.0,2.0,7.0,12.0,312.0,26.0,5.0,70.0,96.0,10.0,37.0,3.0,7.0,8.0,1.0,2.0,1.0,7.0,146.0,5.0,0.0,3.0,1.0,1.0,734.0814287074053,841.1441081286882
m264M_2021,11.0,5.0,1.0,53.0,30.0,24.0,1.0,9.0,0.0,105.0,82.0,42.0,0.0,0.0,0.0,168.0,0.0,3.0,3.0,0.0,1.0,7.0,44.0,81.0,81.0,0.0,12.0,0.0,1.0,284.5426503839592,857.040787116041
m264M_2022,1.0,0.0,9.0,86.0,26.0,19.0,4.0,5.0,7.0,32.0,101.0,4.0,0.0,0.0,0.0,226.0,1.0,11.0,0.0,1.0,4.0,6.0,41.0,21.0,8.0,0.0,0.0,0.0,8.0,324.4054872305141,933.1331754560532
m264M_2027,0.0,6.0,0.0,9.0,20.0,7.0,3.0,10.0,0.0,25.0,134.0,53.0,0.0,3.0,137.0,25.0,0.0,6.0,121.0,1.0,3.0,7.0,19.0,70.0,0.0,3.0,4.0,0.0,10.0,129.43589037486,783.6795045786943
m264M_2031,9.0,4.0,2.0,41.0,48.0,25.0,1.0,9.0,2.0,29.0,60.0,17.0,1.0,0.0,2.0,153.0,1.0,1.0,1.0,0.0,0.0,3.0,22.0,49.0,63.0,2.0,6.0,2.0,21.0,191.46685544672007,906.2484713564857
m264M_2032,4.0,2.0,1.0,25.0,54.0,14.0,4.0,2.0,2.0,272.0,199.0,3.0,0.0,4.0,0.0,95.0,1.0,231.0,266.0,34.0,16.0,14.0,75.0,167.0,6.0,17.0,4.0,7.0,3.0,712.0653919197348,652.084078652692
m264M_2041,1.0,0.0,2.0,19.0,8.0,12.0,8.0,7.0,21.0,46.0,42.0,4.0,6.0,11.0,0.0,107.0,0.0,20.0,31.0,2.0,9.0,10.0,12.0,146.0,111.0,1.0,2.0,1.0,0.0,532.708421465382,793.025080663231
m264M_2045,5.0,0.0,8.0,23.0,8.0,5.0,1.0,6.0,6.0,154.0,40.0,1.0,50.0,45.0,1.0,0.0,0.0,1.0,10.0,2.0,4.0,3.0,4.0,148.0,18.0,5.0,4.0,1.0,1.0,640.8685193381813,689.9118927178839
m264M_2046,11.0,4.0,2.0,38.0,22.0,21.0,2.0,22.0,6.0,202.0,12.0,90.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,16.0,74.0,21.0,52.0,1.0,43.0,4.0,2.0,821.2992513368985,898.9193461930228
m264M_2048,33.0,5.0,2.0,25.0,78.0,24.0,14.0,29.0,3.0,455.0,16.0,215.0,7.0,3.0,4.0,14.0,4.0,11.0,10.0,3.0,2.0,10.0,141.0,14.0,211.0,2.0,25.0,1.0,10.0,791.3998257202379,1012.6415248208932
m264M_2050,4.0,1.0,3.0,15.0,5.0,17.0,2.0,10.0,48.0,131.0,39.0,3.0,20.0,54.0,1.0,170.0,1.0,4.0,15.0,6.0,1.0,12.0,7.0,140.0,76.0,2.0,16.0,2.0,2.0,700.94797179212,803.1380683734477
m264M_2058,4.0,16.0,1.0,60.0,37.0,34.0,3.0,14.0,2.0,12.0,106.0,32.0,0.0,0.0,3.0,191.0,0.0,3.0,2.0,0.0,1.0,4.0,20.0,63.0,91.0,1.0,6.0,0.0,24.0,272.5594158690954,917.4207903673972
m264M_2060,2.0,1.0,0.0,22.0,26.0,15.0,0.0,2.0,1.0,3.0,69.0,4.0,0.0,0.0,0.0,133.0,1.0,4.0,4.0,0.0,1.0,2.0,31.0,16.0,55.0,0.0,0.0,0.0,1.0,160.22122618172094,879.808203516748
m264M_2070,5.0,0.0,0.0,15.0,6.0,15.0,6.0,12.0,0.0,88.0,174.0,4.0,3.0,31.0,0.0,387.0,0.0,19.0,15.0,1.0,1.0,4.0,28.0,149.0,122.0,1.0,3.0,1.0,0.0,595.8890187084007,827.7551672962762
m264M_2072,6.0,32.0,1.0,14.0,3.0,42.0,7.0,2.0,116.0,29.0,192.0,48.0,0.0,0.0,0.0,33.0,1.0,3.0,7.0,0.0,2.0,22.0,24.0,9.0,1.0,0.0,7.0,1.0,6.0,222.4621937511332,1037.6605886263374
m264M_2073,2.0,3.0,3.0,13.0,47.0,16.0,0.0,4.0,0.0,206.0,197.0,1.0,0.0,12.0,2.0,29.0,0.0,46.0,240.0,20.0,28.0,15.0,84.0,128.0,8.0,26.0,4.0,62.0,1.0,701.631703280297,705.901836795632
m264M_2074,7.0,1.0,2.0,39.0,6.0,11.0,9.0,10.0,1.0,181.0,56.0,5.0,20.0,47.0,6.0,165.0,1.0,10.0,15.0,2.0,4.0,13.0,8.0,141.0,12.0,0.0,1.0,2.0,3.0,615.0538194304181,837.0301905338989
m264M_2076,3.0,3.0,1.0,29.0,21.0,16.0,5.0,8.0,4.0,372.0,174.0,1.0,2.0,13.0,0.0,18.0,0.0,3.0,134.0,98.0,74.0,9.0,101.0,165.0,12.0,96.0,5.0,78.0,2.0,402.0907036881652,623.0211648041497
m264M_2080,0.0,5.0,0.0,17.0,10.0,18.0,1.0,4.0,117.0,18.0,159.0,15.0,1.0,0.0,65.0,19.0,1.0,5.0,60.0,0.0,0.0,8.0,43.0,41.0,13.0,1.0,7.0,0.0,16.0,111.8284227370765,868.3569108745564
m264M_2113,2.0,0.0,2.0,32.0,9.0,18.0,1.0,7.0,3.0,157.0,124.0,2.0,0.0,8.0,0.0,362.0,0.0,16.0,16.0,3.0,2.0,8.0,48.0,64.0,5.0,1.0,0.0,6.0,3.0,362.19814077268967,743.6060411122328
m264M_2115,19.0,2.0,3.0,23.0,8.0,19.0,3.0,19.0,1.0,56.0,12.0,82.0,0.0,0.0,0.0,10.0,2.0,5.0,5.0,1.0,1.0,6.0,73.0,13.0,68.0,0.0,4.0,1.0,2.0,621.5059222174331,1065.40030967143
m264M_2116,3.0,2.0,2.0,63.0,16.0,16.0,0.0,7.0,1.0,7.0,42.0,2.0,0.0,0.0,2.0,184.0,0.0,3.0,1.0,2.0,1.0,15.0,41.0,30.0,3.0,0.0,1.0,1.0,4.0,183.60012654320988,952.7616188271604
m264M_2118,10.0,5.0,1.0,36.0,18.0,14.0,5.0,21.0,2.0,213.0,5.0,90.0,1.0,0.0,1.0,12.0,0.0,8.0,8.0,1.0,1.0,13.0,59.0,27.0,79.0,2.0,18.0,1.0,2.0,1001.5411910779728,910.1691495008214
m264M_2132,3.0,5.0,1.0,56.0,22.0,16.0,4.0,17.0,2.0,77.0,129.0,18.0,0.0,0.0,0.0,214.0,1.0,5.0,0.0,1.0,1.0,4.0,37.0,22.0,70.0,0.0,0.0,1.0,10.0,249.06197090741168,989.0118106672824
m264M_2135,1.0,1.0,0.0,60.0,29.0,28.0,2.0,5.0,1.0,24.0,170.0,12.0,1.0,2.0,3.0,354.0,0.0,11.0,7.0,4.0,3.0,10.0,74.0,43.0,116.0,1.0,5.0,0.0,4.0,131.65405603735823,983.8106793417836
m264M_2149,23.0,2.0,3.0,42.0,49.0,35.0,12.0,44.0,6.0,673.0,7.0,270.0,5.0,1.0,9.0,17.0,5.0,16.0,6.0,5.0,10.0,42.0,54.0,33.0,238.0,2.0,14.0,3.0,20.0,948.088291571754,1000.0486499930269
m264M_2156,5.0,2.0,0.0,33.0,30.0,9.0,1.0,18.0,108.0,14.0,7.0,29.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,5.0,117.0,36.0,3.0,2.0,1.0,0.0,893.3312382131631,345.6557157824555
m264M_2162,10.0,6.0,3.0,30.0,20.0,20.0,0.0,6.0,0.0,197.0,22.0,69.0,2.0,5.0,3.0,8.0,1.0,7.0,1.0,4.0,2.0,12.0,123.0,14.0,86.0,2.0,24.0,2.0,7.0,880.4031552404402,871.2629665667923
m264M_2168,30.0,2.0,4.0,19.0,61.0,10.0,1.0,19.0,6.0,20.0,14.0,12.0,0.0,1.0,0.0,11.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,179.0,12.0,0.0,2.0,1.0,1.0,608.7215384615388,1020.5768850329404
m264M_2169,4.0,0.0,13.0,88.0,7.0,19.0,2.0,10.0,8.0,123.0,16.0,131.0,0.0,0.0,1.0,0.0,0.0,0.0,190.0,4.0,8.0,5.0,3.0,209.0,3.0,0.0,1.0,0.0,18.0,767.7072903225808,543.2193548387097
m264M_2171,5.0,1.0,2.0,10.0,3.0,6.0,0.0,5.0,0.0,157.0,5.0,12.0,3.0,0.0,1.0,22.0,0.0,6.0,2.0,3.0,2.0,5.0,1.0,190.0,4.0,1.0,2.0,4.0,0.0,1082.979037114117,631.9924842178287
m264M_2173,3.0,1.0,0.0,52.0,62.0,6.0,1.0,14.0,2.0,46.0,85.0,0.0,3.0,0.0,2.0,262.0,2.0,6.0,1.0,0.0,5.0,5.0,36.0,52.0,78.0,0.0,4.0,0.0,11.0,207.6494298752661,1034.5454018862183
m264M_2176,2.0,0.0,0.0,57.0,20.0,30.0,0.0,1.0,0.0,23.0,76.0,13.0,1.0,0.0,0.0,177.0,0.0,3.0,0.0,1.0,0.0,5.0,34.0,28.0,99.0,1.0,2.0,0.0,0.0,305.21242912729303,901.752509418813
m264M_2177,1.0,5.0,0.0,15.0,36.0,4.0,2.0,5.0,1.0,357.0,166.0,20.0,0.0,6.0,2.0,195.0,0.0,413.0,312.0,135.0,21.0,12.0,100.0,227.0,6.0,97.0,1.0,23.0,3.0,688.8299012322452,633.0180895494309
m264M_2178,8.0,0.0,2.0,29.0,29.0,27.0,0.0,2.0,17.0,21.0,27.0,5.0,2.0,0.0,2.0,62.0,1.0,169.0,72.0,1.0,0.0,5.0,39.0,57.0,1.0,0.0,3.0,0.0,3.0,384.7785824052491,876.9180195113529
m264M_2182,1.0,0.0,6.0,10.0,1.0,10.0,2.0,6.0,112.0,173.0,42.0,1.0,8.0,36.0,1.0,69.0,1.0,8.0,16.0,5.0,1.0,8.0,7.0,201.0,29.0,2.0,8.0,2.0,2.0,735.5170681756938,775.7676672954277
m264M_2185,23.0,2.0,2.0,17.0,25.0,18.0,2.0,8.0,2.0,46.0,14.0,30.0,3.0,0.0,1.0,22.0,2.0,3.0,3.0,2.0,1.0,9.0,106.0,9.0,102.0,1.0,8.0,1.0,3.0,554.2242370123429,1033.250440925507
m264M_2188,1.0,0.0,2.0,8.0,72.0,11.0,2.0,15.0,15.0,227.0,81.0,8.0,0.0,0.0,0.0,130.0,0.0,255.0,161.0,46.0,14.0,3.0,46.0,165.0,31.0,12.0,0.0,2.0,0.0,587.7996719142742,573.7403095647572
m264M_2197,22.0,1.0,2.0,4.0,1.0,44.0,5.0,9.0,5.0,24.0,69.0,27.0,2.0,2.0,2.0,0.0,0.0,0.0,13.0,5.0,7.0,6.0,10.0,90.0,1.0,17.0,1.0,1.0,0.0,669.4023947991735,368.7002580255002
m264M_2201,1.0,0.0,3.0,49.0,5.0,5.0,2.0,12.0,182.0,155.0,14.0,35.0,3.0,0.0,2.0,60.0,0.0,1.0,2.0,1.0,1.0,9.0,1.0,140.0,38.0,0.0,8.0,0.0,0.0,1035.0807608088485,561.7899419059323
m264M_2202,1.0,0.0,1.0,54.0,4.0,31.0,2.0,3.0,0.0,82.0,270.0,0.0,3.0,51.0,0.0,427.0,1.0,9.0,7.0,0.0,0.0,6.0,54.0,120.0,40.0,0.0,7.0,2.0,6.0,498.2600147203141,898.2575966633957
m264M_2205,9.0,1.0,2.0,68.0,30.0,5.0,4.0,7.0,4.0,27.0,83.0,14.0,0.0,0.0,0.0,157.0,1.0,7.0,0.0,2.0,0.0,3.0,24.0,51.0,1.0,0.0,0.0,0.0,5.0,196.4664083415528,1057.7313695927858
m264M_2206,3.0,1.0,4.0,24.0,12.0,12.0,4.0,9.0,3.0,194.0,250.0,4.0,3.0,44.0,1.0,487.0,2.0,34.0,13.0,0.0,0.0,2.0,39.0,130.0,18.0,1.0,1.0,1.0,0.0,474.9980174451782,863.1671068720959
m264M_2213,8.0,0.0,0.0,44.0,23.0,13.0,5.0,5.0,0.0,55.0,47.0,7.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,64.0,57.0,0.0,2.0,0.0,11.0,193.8110575687484,740.1018439989723
m264M_2214,1.0,0.0,1.0,10.0,2.0,7.0,10.0,16.0,24.0,136.0,47.0,3.0,2.0,31.0,2.0,426.0,2.0,12.0,5.0,1.0,2.0,9.0,28.0,113.0,35.0,1.0,3.0,2.0,0.0,468.2608361131256,940.9534836838292
m264M_2226,5.0,1.0,4.0,29.0,8.0,8.0,7.0,10.0,4.0,123.0,49.0,1.0,10.0,11.0,2.0,177.0,1.0,36.0,19.0,1.0,6.0,10.0,21.0,153.0,18.0,3.0,1.0,0.0,1.0,388.5195662496576,831.3772258241256
m264M_2235,12.0,4.0,1.0,14.0,66.0,22.0,2.0,9.0,0.0,69.0,129.0,10.0,0.0,6.0,1.0,13.0,0.0,0.0,181.0,8.0,99.0,20.0,59.0,110.0,0.0,18.0,5.0,62.0,1.0,530.185294528754,710.018266773163
m264M_2236,1.0,0.0,0.0,10.0,10.0,4.0,2.0,15.0,1.0,254.0,21.0,2.0,143.0,89.0,44.0,21.0,0.0,4.0,3.0,2.0,0.0,6.0,4.0,73.0,3.0,0.0,9.0,1.0,1.0,745.7388832487309,825.9450253807107
m264M_2240,9.0,11.0,1.0,82.0,44.0,13.0,1.0,1.0,1.0,139.0,190.0,77.0,1.0,0.0,1.0,281.0,1.0,11.0,1.0,0.0,2.0,5.0,6.0,71.0,79.0,0.0,7.0,0.0,32.0,163.39709164239304,879.6771039659423
m264M_2241,1.0,0.0,2.0,39.0,18.0,5.0,3.0,3.0,150.0,111.0,31.0,62.0,1.0,1.0,1.0,37.0,0.0,3.0,2.0,5.0,5.0,6.0,35.0,117.0,4.0,2.0,3.0,0.0,0.0,305.92635015546523,615.5078354460655
m264M_2242,6.0,8.0,0.0,22.0,19.0,17.0,17.0,9.0,56.0,352.0,131.0,34.0,3.0,9.0,0.0,104.0,0.0,136.0,200.0,143.0,263.0,23.0,85.0,118.0,9.0,37.0,0.0,44.0,0.0,535.3750436645246,848.7168264953041
m264M_2243,16.0,3.0,1.0,10.0,20.0,25.0,4.0,12.0,15.0,37.0,18.0,20.0,0.0,0.0,0.0,268.0,0.0,4.0,11.0,2.0,0.0,10.0,31.0,38.0,74.0,1.0,5.0,1.0,1.0,387.4309880525688,930.8650406212664
m264M_2249,4.0,1.0,0.0,55.0,29.0,19.0,0.0,2.0,0.0,16.0,99.0,2.0,0.0,0.0,0.0,162.0,1.0,10.0,3.0,0.0,0.0,1.0,38.0,31.0,2.0,0.0,2.0,0.0,2.0,326.48918525475466,877.9675855052046
m264M_2251,3.0,0.0,2.0,55.0,25.0,13.0,5.0,7.0,0.0,43.0,96.0,6.0,0.0,1.0,0.0,71.0,0.0,1.0,0.0,0.0,1.0,1.0,41.0,46.0,12.0,3.0,0.0,0.0,15.0,239.36412793688908,604.0246510032583
m264M_2255,4.0,11.0,1.0,26.0,46.0,22.0,2.0,10.0,13.0,140.0,133.0,6.0,2.0,2.0,0.0,81.0,1.0,279.0,187.0,79.0,120.0,5.0,56.0,150.0,7.0,39.0,4.0,43.0,0.0,537.8885285091262,691.1099391589943
m264M_2261,5.0,1.0,4.0,18.0,16.0,13.0,3.0,9.0,2.0,42.0,44.0,3.0,8.0,33.0,3.0,65.0,0.0,0.0,8.0,1.0,7.0,0.0,19.0,106.0,51.0,2.0,1.0,2.0,0.0,416.9791711107725,690.2984661486107
m264M_2270,2.0,1.0,4.0,18.0,6.0,7.0,1.0,13.0,15.0,87.0,53.0,3.0,38.0,17.0,0.0,140.0,0.0,104.0,34.0,4.0,16.0,6.0,17.0,128.0,13.0,2.0,1.0,4.0,1.0,591.2806858548138,740.7844357409599
m264M_2275,8.0,6.0,7.0,14.0,23.0,107.0,14.0,13.0,7.0,34.0,19.0,178.0,4.0,2.0,0.0,1.0,0.0,0.0,13.0,1.0,9.0,9.0,5.0,171.0,5.0,6.0,1.0,1.0,1.0,638.973161604236,406.2058874458874
m264M_2278,6.0,0.0,3.0,12.0,15.0,18.0,3.0,49.0,5.0,26.0,7.0,59.0,2.0,3.0,5.0,89.0,31.0,0.0,6.0,1.0,217.0,14.0,7.0,274.0,5.0,2.0,23.0,2.0,1.0,486.3824695708748,516.268665455827
m264M_2280,7.0,31.0,0.0,6.0,1.0,2.0,3.0,5.0,24.0,33.0,37.0,2.0,0.0,0.0,0.0,102.0,0.0,2.0,17.0,1.0,2.0,2.0,13.0,36.0,1.0,0.0,0.0,0.0,0.0,405.6936931875188,1005.7695314537976
m264M_2281,14.0,14.0,2.0,24.0,23.0,32.0,11.0,18.0,1.0,144.0,47.0,92.0,1.0,4.0,4.0,38.0,3.0,15.0,15.0,1.0,2.0,36.0,178.0,16.0,139.0,1.0,16.0,0.0,4.0,546.9108992621814,995.9976185258236
m264M_2283,2.0,0.0,0.0,22.0,8.0,19.0,0.0,19.0,2.0,20.0,4.0,9.0,0.0,0.0,2.0,22.0,1.0,0.0,1.0,15.0,0.0,6.0,2.0,90.0,2.0,1.0,14.0,0.0,1.0,1017.1470034536468,483.33296810455744
m264M_2287,5.0,0.0,1.0,51.0,46.0,6.0,4.0,26.0,220.0,63.0,23.0,37.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,68.0,1.0,10.0,6.0,134.0,2.0,1.0,7.0,0.0,1.0,981.9499877688312,564.4415207420242
m264M_2293,0.0,0.0,0.0,115.0,8.0,46.0,2.0,2.0,5.0,163.0,240.0,5.0,1.0,17.0,0.0,417.0,0.0,4.0,7.0,1.0,3.0,8.0,34.0,115.0,50.0,0.0,1.0,0.0,35.0,844.122016971955,676.415290282521
m264M_2295,0.0,0.0,0.0,8.0,4.0,5.0,0.0,9.0,19.0,42.0,9.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,13.0,3.0,17.0,2.0,11.0,158.0,62.0,1.0,40.0,2.0,0.0,466.1739266152306,556.4722598504034
m264M_2302,0.0,17.0,0.0,5.0,1.0,2.0,3.0,8.0,3.0,14.0,22.0,6.0,0.0,1.0,1.0,64.0,0.0,2.0,4.0,3.0,1.0,4.0,19.0,42.0,4.0,0.0,2.0,1.0,0.0,1094.5531353005038,614.4590841804007
m264M_2303,1.0,1.0,6.0,27.0,35.0,29.0,4.0,12.0,3.0,313.0,4.0,69.0,2.0,1.0,6.0,4.0,0.0,0.0,2.0,0.0,4.0,25.0,6.0,200.0,3.0,13.0,4.0,0.0,4.0,416.0333440715884,439.8836957494409
m264M_2308,5.0,0.0,1.0,46.0,25.0,38.0,6.0,10.0,1.0,11.0,81.0,12.0,0.0,0.0,1.0,263.0,2.0,4.0,3.0,4.0,0.0,9.0,20.0,56.0,71.0,0.0,0.0,0.0,1.0,274.2305527986151,983.5768840161572
m264M_2313,7.0,0.0,2.0,11.0,6.0,24.0,1.0,6.0,8.0,119.0,143.0,2.0,11.0,39.0,0.0,409.0,0.0,6.0,6.0,1.0,0.0,0.0,12.0,211.0,89.0,0.0,4.0,0.0,2.0,591.8451392613988,870.7904157210646
m264M_2314,11.0,15.0,24.0,7.0,23.0,22.0,2.0,1.0,2.0,12.0,7.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,3.0,19.0,4.0,88.0,7.0,0.0,9.0,0.0,1.0,679.0801642189023,335.6068260887967
m264M_2317,0.0,4.0,1.0,7.0,3.0,10.0,2.0,10.0,1.0,36.0,9.0,16.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,10.0,16.0,52.0,3.0,0.0,0.0,0.0,0.0,1115.2918486533956,603.1560802107729
m264M_2334,6.0,6.0,6.0,32.0,11.0,8.0,6.0,69.0,6.0,6.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,21.0,4.0,116.0,1.0,0.0,0.0,0.0,0.0,1002.3242182227224,328.76801087364083
m264M_2338,4.0,0.0,2.0,2.0,5.0,2.0,4.0,10.0,1.0,63.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,117.0,0.0,1.0,9.0,2.0,1.0,504.406905578418,158.53893689986285
m264M_2341,6.0,1.0,1.0,22.0,5.0,6.0,0.0,1.0,9.0,173.0,130.0,5.0,9.0,58.0,0.0,179.0,0.0,2.0,9.0,4.0,4.0,5.0,17.0,52.0,12.0,2.0,2.0,0.0,2.0,910.2631938886868,670.7203831696372
m264M_2344,14.0,2.0,2.0,26.0,35.0,15.0,4.0,26.0,0.0,140.0,3.0,41.0,3.0,4.0,4.0,1.0,3.0,12.0,0.0,1.0,2.0,31.0,68.0,34.0,87.0,1.0,38.0,4.0,2.0,1073.3864628327474,910.2330430688096
m264M_2355,4.0,0.0,2.0,28.0,82.0,3.0,3.0,10.0,179.0,17.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0,10.0,6.0,112.0,48.0,1.0,10.0,0.0,0.0,911.3171006103978,350.6620616712272
m264M_2376,6.0,18.0,7.0,56.0,66.0,9.0,5.0,30.0,16.0,20.0,2.0,5.0,1.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0,6.0,150.0,7.0,3.0,8.0,1.0,2.0,1007.06625147044,518.3977676200718
m264M_2378,1.0,1.0,0.0,17.0,76.0,6.0,2.0,13.0,333.0,481.0,10.0,8.0,1.0,1.0,0.0,307.0,0.0,2.0,8.0,4.0,5.0,3.0,2.0,302.0,26.0,4.0,22.0,0.0,0.0,798.8919868421052,642.1740141700406
m264M_2380,14.0,6.0,2.0,14.0,18.0,13.0,8.0,9.0,4.0,191.0,4.0,30.0,2.0,0.0,1.0,7.0,7.0,36.0,3.0,2.0,1.0,9.0,66.0,13.0,62.0,0.0,4.0,0.0,0.0,1138.312822164525,841.1624221908174
m264M_2383,1.0,0.0,2.0,16.0,9.0,12.0,1.0,1.0,17.0,123.0,65.0,13.0,0.0,0.0,0.0,323.0,1.0,34.0,9.0,0.0,4.0,9.0,25.0,42.0,38.0,1.0,5.0,0.0,0.0,342.75514370664024,884.1239643211101
m264M_2390,0.0,0.0,1.0,40.0,15.0,22.0,1.0,2.0,147.0,15.0,10.0,8.0,0.0,1.0,0.0,15.0,0.0,0.0,8.0,4.0,14.0,5.0,41.0,109.0,85.0,1.0,0.0,2.0,0.0,488.3725579309314,540.0687915483132
m264M_2391,11.0,9.0,1.0,28.0,20.0,38.0,6.0,11.0,158.0,27.0,6.0,17.0,0.0,1.0,36.0,4.0,0.0,1.0,5.0,1.0,4.0,16.0,8.0,155.0,5.0,1.0,8.0,0.0,0.0,866.2698514970061,510.6142682634732
m264M_2403,7.0,17.0,7.0,9.0,21.0,43.0,5.0,10.0,4.0,13.0,35.0,29.0,2.0,1.0,2.0,1.0,0.0,1.0,57.0,2.0,14.0,6.0,26.0,97.0,4.0,1.0,2.0,0.0,1.0,704.3583150220762,349.32661669575936
m264M_2404,11.0,0.0,1.0,17.0,13.0,7.0,5.0,7.0,8.0,129.0,94.0,3.0,1.0,125.0,3.0,119.0,0.0,2.0,28.0,4.0,2.0,9.0,69.0,33.0,8.0,14.0,5.0,5.0,3.0,715.7005445792412,850.5589562873099
m264M_2406,1.0,14.0,1.0,11.0,24.0,31.0,5.0,3.0,3.0,4.0,227.0,119.0,1.0,0.0,94.0,22.0,1.0,11.0,73.0,1.0,0.0,9.0,33.0,80.0,2.0,0.0,1.0,0.0,54.0,107.10859196378044,781.0605534804753
m264M_2407,20.0,15.0,2.0,35.0,18.0,33.0,1.0,6.0,0.0,221.0,31.0,141.0,3.0,4.0,6.0,9.0,3.0,38.0,4.0,1.0,2.0,19.0,211.0,10.0,12.0,0.0,42.0,2.0,6.0,692.6647716544389,1043.470286640505
m264M_2409,4.0,0.0,0.0,31.0,35.0,29.0,5.0,8.0,0.0,16.0,129.0,15.0,3.0,0.0,2.0,254.0,0.0,27.0,2.0,2.0,0.0,12.0,18.0,44.0,44.0,0.0,7.0,0.0,8.0,144.51635767470458,1018.2670168727371
m264M_2417,5.0,0.0,3.0,66.0,24.0,20.0,9.0,9.0,0.0,109.0,117.0,6.0,0.0,0.0,0.0,173.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,49.0,20.0,0.0,0.0,0.0,10.0,230.32484829721363,604.2479179566564
m264M_2425,4.0,1.0,0.0,15.0,4.0,45.0,1.0,1.0,2.0,147.0,241.0,7.0,1.0,8.0,1.0,478.0,0.0,5.0,5.0,0.0,1.0,3.0,30.0,111.0,47.0,1.0,1.0,1.0,4.0,502.188273122754,896.7907944013617
m264M_2430,3.0,0.0,2.0,19.0,38.0,13.0,0.0,8.0,138.0,130.0,55.0,3.0,1.0,18.0,0.0,143.0,2.0,59.0,17.0,5.0,16.0,11.0,44.0,134.0,65.0,6.0,1.0,6.0,1.0,505.1899701913176,627.5741033006342
m264M_2433,11.0,0.0,0.0,51.0,67.0,21.0,4.0,6.0,4.0,16.0,132.0,34.0,1.0,0.0,2.0,265.0,1.0,3.0,2.0,1.0,2.0,4.0,11.0,37.0,73.0,0.0,5.0,0.0,20.0,183.0315675893037,1060.259829770123
m264M_2437,7.0,1.0,1.0,9.0,16.0,11.0,1.0,2.0,25.0,212.0,62.0,0.0,17.0,34.0,0.0,178.0,0.0,2.0,81.0,19.0,2.0,9.0,22.0,140.0,27.0,4.0,12.0,3.0,1.0,691.6979969618055,685.3353624131944
m264M_2441,1.0,2.0,0.0,54.0,36.0,27.0,5.0,3.0,4.0,17.0,89.0,14.0,0.0,0.0,0.0,178.0,2.0,2.0,2.0,4.0,2.0,5.0,22.0,23.0,66.0,0.0,0.0,0.0,2.0,155.13778241949527,925.0574110821004
